StartTime: 2022-04-15 16:08:44.591
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	 16:08:44.274	 	0.0317	0.0273	1.0044	2.1362	-1.9531	2.6245	-0.1263	2.2028	-145.4205	22.3500	6	94	-80																			
	 16:08:44.274	 2022-04-08 16:41:01.330	0.0273	0.0293	1.0073	-0.9155	0.8545	3.5400	-0.1483	2.2467	-144.9866	22.3100	10	92	-80																			
	 16:08:44.274	 2022-04-08 16:41:01.430	0.0229	0.0249	1.0078	-0.6714	4.2725	1.0376	-0.1428	2.0819	-144.5801	22.2800	10	94	-78																			
	 16:08:44.274	 2022-04-08 16:41:01.530	0.0166	0.0229	1.0068	-0.3662	-1.7700	0.3662	-0.2252	1.7633	-144.4537	22.3000	14	93	-79																			
	 16:08:44.274	 2022-04-08 16:41:01.630	0.0186	0.0205	1.0049	0.0000	-0.1221	0.7935	-0.2087	1.7908	-144.2175	22.2900	11	94	-78																			
	 16:08:44.274	 2022-04-08 16:41:01.730	0.0166	0.0225	1.0024	-0.5493	1.1597	1.7090	-0.2142	1.8292	-144.0912	22.2700	10	93	-78																			
	 16:08:44.274	 2022-04-08 16:41:01.830	0.0225	0.0234	1.0049	0.3662	-1.1597	1.6479	-0.1483	1.9775	-143.9044	22.2700	11	92	-73																			
	 16:08:44.274	 2022-04-08 16:41:01.930	0.0234	0.0269	1.0044	0.0610	-0.3052	0.4272	-0.1483	2.0435	-143.6902	22.2700	14	88	-74																			
	 16:08:44.274	 2022-04-08 16:41:02.030	0.0156	0.0405	1.0059	-1.1597	0.7935	0.6714	-0.1758	2.0490	-143.3826	22.2700	14	90	-69																			
	 16:08:44.274	 2022-04-08 16:41:02.130	0.0308	0.0317	1.0029	2.1362	-1.5869	0.1831	-0.2692	2.5159	-143.3771	22.2900	13	90	-70																			
	 16:08:44.274	 2022-04-08 16:41:02.230	0.0303	0.0298	1.0034	0.2441	0.6714	1.1597	-0.3406	2.5983	-143.3826	22.3200	10	84	-72																			
