StartTime: 2022-04-08 16:11:05.548
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	 16:11:05.237	 	0.0278	1.0698	-0.0454							25.5500																						
	 16:11:05.237	 	0.0225	1.0635	-0.0415							25.5200																						
	 16:11:05.237	 	0.0254	1.0728	-0.0537							25.5000																						
	 16:11:05.237	 	0.0239	1.0728	-0.0552							25.5100																						
	 16:11:05.237	 	0.0239	1.0728	-0.0557							25.4700																						
	 16:11:05.237	 	0.0293	1.0737	-0.0610							25.4900																						
	 16:11:05.237	 	0.0200	1.0703	-0.0557							25.4700																						
	 16:11:05.237	 	0.0259	1.0493	-0.0376							25.5000																						
	 16:11:05.237	 	0.0293	1.0713	-0.0503							25.4800																						
	 16:11:05.237	 	-0.0059	1.0635	-0.0381							25.5200																						
	 16:11:05.237	 	0.0298	1.0723	-0.0518							25.5200																						
	 16:11:05.237	 	0.0356	1.0723	-0.0503							25.5000																						
	 16:11:05.237	 	0.0278	1.0737	-0.0493							25.5000																						
	 16:11:05.237	 	0.0293	1.0723	-0.0459							25.5300																						
	 16:11:05.237	 	-0.0513	1.0737	-0.0381							25.5300																						
	 16:11:05.237	 	0.0313	1.0747	-0.0493							25.5400																						
	 16:11:05.237	 	0.0361	1.0737	-0.0479							25.5700																						
	 16:11:05.237	 	0.0317	1.0732	-0.0479							25.5900																						
	 16:11:05.237	 	0.0337	1.0703	-0.0474							25.5800																						
	 16:11:05.237	 	0.0571	1.0742	-0.0835							25.6100																						
	 16:11:05.237	 	-0.1006	1.0659	-0.0181							25.5900																						
	 16:11:05.237	 	0.0249	1.2847	-0.0542							25.6000																						
	 16:11:05.237	 	-0.0674	1.2334	0.0840							25.6300																						
	 16:11:05.237	 	-0.1787	1.0020	0.2368							25.6300																						
	 16:11:05.237	 	-0.1157	1.0317	0.4395							25.6400																						
	 16:11:05.237	 	-0.1479	0.8760	0.4712							25.6600																						
	 16:11:05.237	 	-0.1875	0.7632	0.7295							25.6700																						
	 16:11:05.237	 	-0.2671	0.6123	0.7241							25.7000																						
	 16:11:05.237	 	0.0815	-0.2744	1.0630							25.7000																						
	 16:11:05.237	 	-0.1479	-0.0254	0.9561							25.6900																						
	 16:11:05.237	 	-0.0005	-0.1260	1.0630							25.6900																						
	 16:11:05.237	 	-0.0044	-0.1284	0.9438							25.7300																						
	 16:11:05.237	 	-0.0254	-0.1685	0.9912							25.7300																						
	 16:11:05.237	 	0.0352	-0.0522	1.0103							25.7000																						
	 16:11:05.237	 	0.0659	-0.0176	1.0122							25.7700																						
	 16:11:05.237	 	0.0952	0.0752	1.0195							25.7500																						
	 16:11:05.237	 	0.1895	0.0845	1.0234							25.8100																						
	 16:11:05.237	 	0.1421	0.1558	0.9517							25.7900																						
	 16:11:05.237	 	0.1636	0.1538	0.9448							25.8200																						
	 16:11:05.237	 	0.1089	0.1533	1.0356							25.8300																						
	 16:11:05.237	 	-0.0845	0.2173	1.0503							25.8800																						
	 16:11:05.237	 	-0.3198	0.1792	0.9629							25.8900																						
	 16:11:05.237	 	-0.5288	0.2095	0.5273							25.8700																						
	 16:11:05.237	 	-0.9165	0.2725	-0.0674							25.8800																						
	 16:11:05.237	 	-1.1196	0.5659	-0.6040							25.9100																						
	 16:11:05.237	 	-0.7686	0.4609	-0.8535							25.9200																						
	 16:11:05.237	 	-0.5796	0.3433	-0.7793							25.9300																						
	 16:11:05.237	 	-0.3701	0.4341	-0.8491							25.9400																						
	 16:11:05.237	 	-0.3433	0.4463	-0.8711							25.9700																						
	 16:11:05.237	 	-0.3613	0.4668	-0.9170							26.0100																						
	 16:11:05.237	 	-0.3604	0.4204	-0.9004							25.9600																						
	 16:11:05.237	 	-0.3574	0.4927	-0.8745							25.9700																						
	 16:11:05.237	 	-0.5000	0.5679	-0.8198							26.0200																						
	 16:11:05.237	 	-0.6045	0.5771	-0.3555							26.0200																						
	 16:11:05.237	 	-0.6323	0.7251	0.0205							26.0100																						
	 16:11:05.237	 	-0.5127	0.7847	0.2720							26.0500																						
	 16:11:05.237	 	-0.6250	0.6270	0.3413							26.0500																						
	 16:11:05.237	 	-0.6030	0.7007	0.5225							26.0500																						
	 16:11:05.237	 	-0.1621	0.7480	0.6787							26.0600																						
	 16:11:05.237	 	-0.0161	0.7656	0.6514							26.0600																						
	 16:11:05.237	 	0.0156	0.7905	0.6416							26.0800																						
	 16:11:05.237	 	0.2866	0.7529	0.8013							26.0700																						
	 16:11:05.237	 	0.2964	0.5703	0.6758							26.1000																						
	 16:11:05.237	 	0.2944	0.6792	0.7754							26.1000																						
	 16:11:05.237	 	0.1685	0.6240	0.7275							26.1600																						
	 16:11:05.237	 	0.0220	0.8130	0.5610							26.1800																						
	 16:11:05.237	 	-0.0181	0.9556	0.4277							26.1500																						
	 16:11:05.237	 	-0.0869	0.6875	0.2964							26.1900																						
	 16:11:05.237	 	0.2476	1.2773	-0.0024							26.2200																						
	 16:11:05.239	 	0.0620	1.1045	0.2178							26.2100																						
	 16:11:05.239	 	0.1377	1.0356	0.1533							26.2200																						
	 16:11:05.239	 	0.1484	1.1440	-0.0146							26.2700																						
	 16:11:05.239	 	0.4009	1.0825	-0.0767							26.2800																						
	 16:11:05.239	 	0.2749	1.1143	-0.0078							26.3000																						
	 16:11:05.239	 	0.1973	1.0215	0.0649							26.3100																						
	 16:11:05.239	 	0.1860	1.0049	0.0703							26.3000																						
	 16:11:05.239	 	0.2153	1.0806	0.0166							26.3200																						
	 16:11:05.239	 	0.1123	0.9438	0.0459							26.3400																						
	 16:11:05.239	 	0.1987	1.0801	0.0601							26.3700																						
	 16:11:05.239	 	0.2046	1.0195	0.0640							26.3800																						
	 16:11:05.239	 	0.1973	1.0762	0.1118							26.4000																						
	 16:11:05.239	 	0.1567	0.8887	0.1577							26.3900																						
	 16:11:05.239	 	-0.1260	1.2031	0.0146							26.4500																						
	 16:11:05.239	 	-0.4922	0.6948	-0.1577							26.4700																						
	 16:11:05.239	 	-0.3521	-0.1460	-0.0288							26.4700																						
	 16:11:05.239	 	0.0327	1.0698	-0.0659							26.4900																						
	 16:11:05.239	 	0.0327	1.0713	-0.0654							26.5200																						
	 16:11:05.239	 	0.0327	1.0723	-0.0659							26.4900																						
	 16:11:05.239	 	0.0322	1.0718	-0.0654							26.5100																						
	 16:11:05.239	 	0.0322	1.0718	-0.0654							26.5200																						
	 16:11:05.239	 	0.0327	1.0713	-0.0654							26.5100																						
	 16:11:05.239	 	0.0327	1.0718	-0.0649							26.5100																						
	 16:11:05.239	 	0.0322	1.0718	-0.0649							26.5600																						
	 16:11:05.239	 	0.0322	1.0718	-0.0649							26.5100																						
	 16:11:05.239	 	0.2119	1.0601	-0.1714							26.5300																						
	 16:11:05.239	 	0.0518	1.0791	0.0884							26.5300																						
	 16:11:05.239	 	-0.0181	1.0547	-0.0503							26.5500																						
	 16:11:05.239	 	0.0332	1.0713	-0.0688							26.5500																						
	 16:11:05.239	 	0.0332	1.0703	-0.0693							26.5700																						
	 16:11:05.239	 	0.0332	1.0713	-0.0688							26.5600																						
	 16:11:05.239	 	0.0337	1.0713	-0.0698							26.6000																						
	 16:11:05.239	 	0.0337	1.0713	-0.0698							26.5900																						
	 16:11:05.239	 	0.0337	1.0713	-0.0703							26.6000																						
	 16:11:05.239	 	0.0337	1.0713	-0.0693							26.5700																						
	 16:11:05.239	 	0.0337	1.0713	-0.0703							26.6100																						
	 16:11:05.239	 	0.0342	1.0718	-0.0698							26.6000																						
	 16:11:05.239	 	0.0337	1.0713	-0.0703							26.6300																						
	 16:11:05.239	 	0.0337	1.0713	-0.0703							26.6400																						
	 16:11:05.239	 	0.0337	1.0713	-0.0698							26.6100																						
	 16:11:05.239	 	0.0332	1.0713	-0.0703							26.6400																						
	 16:11:05.239	 	0.0342	1.0708	-0.0703							26.6400																						
	 16:11:05.239	 	0.0337	1.0708	-0.0698							26.6600																						
	 16:11:05.239	 	0.0337	1.0713	-0.0708							26.6700																						
	 16:11:05.239	 	0.0337	1.0713	-0.0703							26.6900																						
	 16:11:05.239	 	0.0337	1.0718	-0.0703							26.6400																						
	 16:11:05.239	 	0.0337	1.0708	-0.0703							26.6800																						
	 16:11:05.239	 	0.0332	1.0718	-0.0708							26.7000																						
	 16:11:05.239	 	0.0337	1.0713	-0.0708							26.6700																						
	 16:11:05.239	 	0.0332	1.0713	-0.0708							26.7100																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.6900																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.7100																						
	 16:11:05.240	 	0.0342	1.0723	-0.0703							26.7100																						
	 16:11:05.240	 	0.0337	1.0713	-0.0708							26.7200																						
	 16:11:05.240	 	0.0337	1.0718	-0.0698							26.7200																						
	 16:11:05.240	 	0.0332	1.0718	-0.0703							26.7100																						
	 16:11:05.240	 	0.0337	1.0718	-0.0703							26.7600																						
	 16:11:05.240	 	0.0342	1.0713	-0.0698							26.7700																						
	 16:11:05.240	 	0.0337	1.0718	-0.0703							26.7900																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.7600																						
	 16:11:05.240	 	0.0337	1.0723	-0.0703							26.8000																						
	 16:11:05.240	 	0.0337	1.0718	-0.0708							26.8000																						
	 16:11:05.240	 	0.0337	1.0708	-0.0693							26.8000																						
	 16:11:05.240	 	0.0337	1.0708	-0.0698							26.8200																						
	 16:11:05.240	 	0.0337	1.0703	-0.0703							26.8000																						
	 16:11:05.240	 	0.0342	1.0708	-0.0703							26.8300																						
	 16:11:05.240	 	0.0332	1.0713	-0.0698							26.8100																						
	 16:11:05.240	 	0.0337	1.0718	-0.0703							26.8300																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.8200																						
	 16:11:05.240	 	0.0337	1.0718	-0.0708							26.8800																						
	 16:11:05.240	 	0.0337	1.0713	-0.0698							26.9000																						
	 16:11:05.240	 	0.0337	1.0718	-0.0708							26.8600																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.8900																						
	 16:11:05.240	 	0.0342	1.0713	-0.0708							26.9000																						
	 16:11:05.240	 	0.0327	1.0718	-0.0708							26.9000																						
	 16:11:05.240	 	0.0332	1.0718	-0.0698							26.8600																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.8900																						
	 16:11:05.240	 	0.0337	1.0718	-0.0703							26.9500																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.9500																						
	 16:11:05.240	 	0.0342	1.0718	-0.0703							26.9400																						
	 16:11:05.240	 	0.0337	1.0713	-0.0703							26.9400																						
	 16:11:05.240	 	0.0337	1.0718	-0.0698							26.9700																						
	 16:11:05.240	 	0.0337	1.0718	-0.0703							26.9500																						
	 16:11:05.240	 	0.0337	1.0723	-0.0703							27.0000																						
	 16:11:05.240	 	0.0337	1.0718	-0.0703							26.9800																						
	 16:11:05.240	 	0.0337	1.0718	-0.0698							26.9900																						
	 16:11:05.240	 	0.0332	1.0718	-0.0703							26.9700																						
	 16:11:05.240	 	0.0342	1.0713	-0.0703							26.9800																						
	 16:11:05.240	 	0.0342	1.0713	-0.0698							27.0200																						
	 16:11:05.240	 	0.0342	1.0713	-0.0693							27.0000																						
	 16:11:05.240	 	0.0337	1.0708	-0.0703							27.0100																						
	 16:11:05.240	 	0.0337	1.0708	-0.0708							27.0500																						
	 16:11:05.240	 	0.0327	1.0708	-0.0698							27.0300																						
	 16:11:05.240	 	0.0332	1.0708	-0.0698							27.0200																						
	 16:11:05.240	 	0.0332	1.0708	-0.0693							27.0500																						
	 16:11:05.240	 	0.0342	1.0713	-0.0693							27.0800																						
	 16:11:05.240	 	0.0332	1.0718	-0.0693							27.0500																						
	 16:11:05.240	 	0.0337	1.0708	-0.0693							27.0600																						
	 16:11:05.240	 	0.0337	1.0708	-0.0698							27.0900																						
	 16:11:05.240	 	0.0337	1.0713	-0.0693							27.0900																						
	 16:11:05.240	 	0.0337	1.0713	-0.0698							27.1000																						
	 16:11:05.240	 	0.0337	1.0713	-0.0688							27.0800																						
	 16:11:05.240	 	0.0342	1.0718	-0.0693							27.1200																						
	 16:11:05.240	 	0.0337	1.0713	-0.0698							27.1200																						
	 16:11:05.240	 	0.0337	1.0718	-0.0693							27.1400																						
	 16:11:05.240	 	0.0337	1.0713	-0.0698							27.1000																						
	 16:11:05.240	 	0.0337	1.0713	-0.0684							27.1500																						
	 16:11:05.240	 	0.0342	1.0718	-0.0688							27.1200																						
	 16:11:05.240	 	0.0337	1.0718	-0.0688							27.1600																						
	 16:11:05.240	 	0.0342	1.0713	-0.0688							27.1800																						
	 16:11:05.240	 	0.0337	1.0718	-0.0688							27.1900																						
	 16:11:05.240	 	0.0337	1.0713	-0.0688							27.2000																						
	 16:11:05.240	 	0.0337	1.0713	-0.0693							27.1800																						
	 16:11:05.240	 	0.0332	1.0708	-0.0698							27.2100																						
	 16:11:05.240	 	0.0337	1.0713	-0.0693							27.2000																						
	 16:11:05.240	 	0.0337	1.0713	-0.0693							27.2100																						
	 16:11:05.240	 	0.0332	1.0708	-0.0693							27.2600																						
	 16:11:05.240	 	0.0337	1.0718	-0.0688							27.2300																						
	 16:11:05.240	 	0.0342	1.0718	-0.0698							27.2700																						
	 16:11:05.240	 	0.0337	1.0723	-0.0698							27.2200																						
	 16:11:05.240	 	0.0332	1.0708	-0.0693							27.2600																						
	 16:11:05.240	 	0.0337	1.0708	-0.0698							27.2400																						
	 16:11:05.240	 	0.0342	1.0713	-0.0698							27.2500																						
	 16:11:05.240	 	0.0332	1.0713	-0.0693							27.2700																						
	 16:11:05.240	 	0.0332	1.0713	-0.0688							27.2700																						
	 16:11:05.240	 	0.0337	1.0713	-0.0688							27.3100																						
	 16:11:05.240	 	0.0337	1.0713	-0.0693							27.2600																						
	 16:11:05.240	 	0.0342	1.0713	-0.0693							27.3000																						
	 16:11:05.240	 	0.0332	1.0713	-0.0693							27.3000																						
	 16:11:05.240	 	0.0342	1.0713	-0.0688							27.3100																						
	 16:11:05.240	 	0.0337	1.0713	-0.0693							27.2800																						
	 16:11:05.240	 	0.0342	1.0713	-0.0698							27.3100																						
	 16:11:05.240	 	0.0337	1.0723	-0.0698							27.3000																						
	 16:11:05.240	 	0.0332	1.0713	-0.0693							27.3400																						
