StartTime: 2022-09-29 15:15:01.868
address	Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP 
	 15:15:01.566	 	0.0610	0.8994	-0.3716	-97.9004	40.8936	-21.9116	112.4451	-3.5870	-7.2894	27.0900	-23	-79	-154																			
	 15:15:01.568	 2000-00-00 00:04:29.625	0.0884	1.1567	0.2510	-29.9683	-15.5029	5.9814	107.0453	-5.7184	-4.1199	27.0700	-13	-66	-157																			
	 15:15:01.568	 2000-00-00 00:04:29.725	0.1255	1.0249	-0.0317	-25.4517	78.2471	15.4419	104.1833	-6.7401	-4.5264	27.0100	-12	-63	-158																			
	 15:15:01.568	 2000-00-00 00:04:29.825	0.0903	0.7700	0.2319	30.5176	-49.2554	14.8926	100.1404	-8.4430	-2.4774	27.0400	-7	-59	-158																			
	 15:15:01.569	 2000-00-00 00:04:29.925	0.1997	1.0605	0.1274	-96.6797	21.4233	-8.6060	100.3326	-11.1017	-3.9825	27.0400	-13	-60	-159																			
	 15:15:01.569	 2000-00-00 00:04:30.025	0.1436	0.8076	0.2578	-4.9438	-20.5688	27.9541	92.9883	-12.4750	-1.1810	27.0000	-7	-52	-158																			
	 15:15:01.569	 2000-00-00 00:04:30.125	0.3960	0.9331	0.0840	-15.6860	8.8501	13.4888	91.6150	-15.6171	-1.7578	27.0100	-5	-49	-159																			
	 15:15:01.569	 2000-00-00 00:04:30.225	0.1387	0.9663	0.3535	-86.9751	131.1035	7.8735	83.7103	-15.7104	4.6472	26.9700	2	-37	-159																			
	 15:15:01.569	 2000-00-00 00:04:30.325	0.1123	0.7905	0.6147	47.4854	37.0483	16.1743	79.0027	-15.5951	9.1736	26.9300	10	-26	-156																			
	 15:15:01.569	 2000-00-00 00:04:30.425	0.2466	1.0703	0.3833	-48.4619	-16.1743	-27.8931	80.5902	-13.4692	10.4480	26.9400	14	-36	-152																			
	 15:15:01.569	 2000-00-00 00:04:30.525	0.1938	0.9727	0.4863	26.6724	-17.3950	11.2915	81.4801	-13.5846	8.8220	27.0100	14	-38	-155																			
	 15:15:01.569	 2000-00-00 00:04:30.625	0.0850	0.8657	0.2769	42.6025	27.0996	-33.0811	80.8704	-11.1456	10.7172	26.9700	13	-39	-155																			
	 15:15:01.569	 2000-00-00 00:04:30.725	0.1265	0.7900	0.3535	38.0859	11.7798	-35.2173	84.4189	-7.4377	10.3107	27.0100	17	-45	-154																			
	 15:15:01.569	 2000-00-00 00:04:30.825	0.2573	1.1313	0.2051	45.5322	6.5308	-24.9634	89.1705	-3.7738	10.5139	26.9900	14	-51	-158																			
	 15:15:01.569	 2000-00-00 00:04:30.925	0.0186	0.9097	0.3521	-54.8706	47.1802	74.3408	84.4135	-7.4323	13.8043	27.0100	20	-51	-153																			
	 15:15:01.569	 2000-00-00 00:04:31.025	-0.0439	0.8208	0.3315	-8.3618	-13.1836	7.5073	80.3320	-6.0150	15.2216	27.0000	22	-43	-154																			
	 15:15:01.569	 2000-00-00 00:04:31.125	0.2222	1.1157	0.1797	-10.4370	79.1016	-2.3193	83.7927	-10.7336	16.1499	26.9700	26	-47	-155																			
	 15:15:01.569	 2000-00-00 00:04:31.225	0.2329	1.3345	0.3267	40.3442	-82.5195	-55.1758	78.4039	-1.4392	17.4847	27.0100	33	-36	-151																			
	 15:15:01.569	 2000-00-00 00:04:31.325	0.1025	0.8467	0.1650	34.9121	-56.9458	-27.5879	79.4751	-2.1149	14.5239	27.0200	28	-33	-152																			
	 15:15:01.569	 2000-00-00 00:04:31.425	0.2695	0.7822	0.3452	6.0425	21.6064	32.1655	87.7313	-5.8447	9.5197	27.0100	17	-50	-158																			
	 15:15:01.569	 2000-00-00 00:04:31.525	0.2114	1.3125	0.3164	-62.8662	8.1177	8.4229	87.9565	-8.5583	11.6180	27.0100	17	-59	-159																			
	 15:15:01.569	 2000-00-00 00:04:31.625	0.1133	0.7554	0.1567	15.0757	21.3623	28.1372	78.5522	-9.6460	16.5125	27.0000	23	-47	-153																			
	 15:15:01.569	 2000-00-00 00:04:31.725	0.2632	0.7607	-0.0337	129.5776	-4.0894	25.6348	84.7760	-12.8210	18.3252	27.0300	30	-55	-151																			
	 15:15:01.569	 2000-00-00 00:04:31.825	0.2261	0.9619	0.0122	62.6831	-28.6865	-27.7710	97.7454	-15.8423	13.5077	27.0500	23	-80	-155																			
	 15:15:01.569	 2000-00-00 00:04:31.925	0.2876	0.9917	-0.2778	86.9751	-85.3271	28.5034	109.0063	-11.7389	8.1134	27.0200	14	-97	-152																			
	 15:15:01.569	 2000-00-00 00:04:32.025	-0.1216	0.7573	-0.4814	-141.7236	-34.4849	-32.8979	109.0503	-2.9828	3.0542	27.0100	4	-100	-153																			
	 15:15:01.569	 2000-00-00 00:04:32.125	0.1382	1.0903	-0.2236	-39.1235	-14.4043	3.9063	104.3811	-6.6248	9.9536	27.0500	11	-97	-149																			
	 15:15:01.569	 2000-00-00 00:04:32.225	-0.0796	1.0073	0.1592	-76.7212	-76.7822	-26.4282	93.3398	-4.2407	7.0587	27.0200	12	-80	-152																			
	 15:15:01.569	 2000-00-00 00:04:32.325	-0.2090	0.7065	0.4668	-283.3252	-7.0801	-70.3735	73.1085	0.1099	6.5369	27.0800	11	-47	-155																			
	 15:15:01.569	 2000-00-00 00:04:32.425	0.1392	0.8921	0.6216	40.6494	-26.0010	125.1221	61.7871	-3.0872	7.4597	27.0700	12	-12	-147																			
	 15:15:01.569	 2000-00-00 00:04:32.525	0.0532	0.7065	0.4814	-34.3018	43.0298	1.8311	60.9082	-7.2070	12.1454	27.0700	21	-6	-148																			
	 15:15:01.569	 2000-00-00 00:04:32.625	0.3027	0.7026	0.6777	9.1553	-55.4199	-134.8267	59.9194	-6.0754	5.3613	27.0800	13	-1	-146																			
	 15:15:01.569	 2000-00-00 00:04:32.725	-0.0537	0.7026	0.5107	-18.2495	34.5459	-20.7520	56.8433	-4.6527	2.8290	27.0600	7	3	-145																			
	 15:15:01.569	 2000-00-00 00:04:32.825	-0.0923	0.8604	0.4956	63.6597	-10.1929	-124.6338	57.4530	2.1039	3.6365	27.1200	8	3	-146																			
	 15:15:01.569	 2000-00-00 00:04:32.925	-0.2031	0.7163	0.7300	56.2134	-41.0156	-105.2246	60.0293	11.8872	-3.0212	27.0900	0	2	-146																			
	 15:15:01.569	 2000-00-00 00:04:33.025	-0.0688	1.0464	0.7480	65.6738	-10.2539	-158.7524	62.9077	19.5886	-13.5297	27.1100	-20	-9	-153																			
	 15:15:01.569	 2000-00-00 00:04:33.125	-0.6689	0.4761	0.2017	-23.9868	29.6021	-202.0874	66.0828	38.1995	-16.0291	27.0800	-25	-22	-157																			
	 15:15:01.569	 2000-00-00 00:04:33.225	-0.7896	0.6855	0.4409	111.8164	46.5698	-75.4395	61.1444	53.2727	-24.0930	27.1300	-28	-27	-153																			
	 15:15:01.569	 2000-00-00 00:04:33.325	-0.7529	0.3589	0.0635	24.0479	39.9170	8.7891	71.3727	57.6837	-19.4513	27.1300	-23	-41	-156																			
